"month","beginning_inventory","order_quantity","ending_inventory","holding_cost","backorder_cost","total_cost"
121,60,122.612198827874,-29.88,0,89.64,89.64
122,92.732198827874,106.126925881142,0.462198827874005,0.462198827874005,0,0.462198827874005
123,106.589124709016,90.9707477547871,1.47912470901569,1.47912470901569,0,1.47912470901569
124,92.4498724638028,94.5436023330145,0.949872463802805,0.949872463802805,0,0.949872463802805
125,95.4934747968173,104.012521621553,2.93347479681728,2.93347479681728,0,2.93347479681728
126,106.94599641837,96.9145194585385,2.59599641836988,2.59599641836988,0,2.59599641836988
127,99.5105158769084,78.6073856902858,3.30051587690841,3.30051587690841,0,3.30051587690841
128,81.9079015671942,104.97385909723,2.32790156719419,2.32790156719419,0,2.32790156719419
129,107.301760664424,100.212025441297,1.87176066442431,1.87176066442431,0,1.87176066442431
130,102.083786105721,98.8334038368966,2.90378610572105,2.90378610572105,0,2.90378610572105
131,101.737189942618,108.389923955932,1.96718994261762,1.96718994261762,0,1.96718994261762
132,110.357113898549,99.1582609012728,-3.19288610145072,0,9.57865830435217,9.57865830435217
133,95.9653747998221,90.2366933688443,4.31537479982211,4.31537479982211,0,4.31537479982211
134,94.5520681686664,102.559973625988,3.99206816866636,3.99206816866636,0,3.99206816866636
135,106.552041794655,91.6416697660729,1.03204179465457,1.03204179465457,0,1.03204179465457
136,92.6737115607275,95.4140722675458,0.493711560727462,0.493711560727462,0,0.493711560727462
137,95.9077838282733,101.6800812088,4.68778382827331,4.68778382827331,0,4.68778382827331
138,106.367865037073,103.965930530126,-2.67213496292686,0,8.01640488878058,8.01640488878058
139,101.293795567199,82.0966720858392,2.03379556719948,2.03379556719948,0,2.03379556719948
140,84.1304676530387,110.488284686805,0.770467653038679,0.770467653038679,0,0.770467653038679
141,111.258752339844,105.946007635615,0.458752339843599,0.458752339843599,0,0.458752339843599
142,106.404759975458,105.740418830211,1.4547599754581,1.4547599754581,0,1.4547599754581
143,107.195178805669,117.833182865365,0.125178805668767,0.125178805668767,0,0.125178805668767
144,117.958361671033,69.4416383289666,3.55836167103342,3.55836167103342,0,3.55836167103342
