,,x,mean_year,detrend_season_year
1996,1,79.35,79.78,1.058051745
,2,75.78,79.78,1.007266383
,3,86.32,79.78,1.003316608
,4,72.6,79.78,0.987245537
,5,74.86,79.78,0.98761424
,6,83.81,79.78,0.984207929
,7,79.8,79.78,1.015391633
,8,62.41,79.78,0.957748184
,9,85.41,79.78,0.987960746
,10,83.11,79.78,1.006307117
,11,84.21,79.78,1.008600167
,12,89.7,79.78,0.993150245
1997,13,78.64,84.44,0.990716256
,14,77.42,84.44,0.972274092
,15,89.86,84.44,0.986821928
,16,81.27,84.44,1.044154166
,17,78.68,84.44,0.980725977
,18,89.51,84.44,0.993135219
,19,83.67,84.44,1.005880214
,20,69.8,84.44,1.012041647
,21,91.09,84.44,0.995514241
,22,89.43,84.44,1.023072238
,23,91.04,84.44,1.03022818
,24,92.87,84.44,0.971502145
1998,25,81.87,85.6075,1.017342024
,26,85.36,85.6075,1.057368487
,27,92.98,85.6075,1.007159675
,28,81.09,85.6075,1.027633081
,29,85.64,85.6075,1.052922476
,30,91.14,85.6075,0.997429619
,31,83.46,85.6075,0.989672008
,32,66.37,85.6075,0.949185707
,33,93.34,85.6075,1.006192282
,34,85.93,85.6075,0.969626086
,35,86.81,85.6075,0.968963331
,36,93.3,85.6075,0.962689804
1999,37,81.59,92.53416667,0.937969731
,38,81.77,92.53416667,0.937077802
,39,91.24,92.53416667,0.914331664
,40,79.45,92.53416667,0.9314818
,41,86.99,92.53416667,0.989461191
,42,96.6,92.53416667,0.978047752
,43,97.99,92.53416667,1.074989842
,44,79.13,92.53416667,1.046960349
,45,103.56,92.53416667,1.032796894
,46,100.89,92.53416667,1.053215635
,47,99.4,92.53416667,1.026440233
,48,111.8,92.53416667,1.067225585
2000,49,95.3,109.8183333,0.923149547
,50,97.77,109.8183333,0.944092479
,51,116.23,109.8183333,0.981440535
,52,100.98,109.8183333,0.997569376
,53,104.07,109.8183333,0.997429614
,54,114.64,109.8183333,0.978016946
,55,107.62,109.8183333,0.994816227
,56,96.12,109.8183333,1.071593574
,57,123.5,109.8183333,1.037808227
,58,116.12,109.8183333,1.021417919
,59,116.86,109.8183333,1.016811464
,60,128.61,109.8183333,1.034466504
2001,61,100.56,100.8525,1.060700089
,62,103.05,100.8525,1.083540375
,63,119.06,100.8525,1.09471183
,64,92.46,100.8525,0.994603106
,65,98.75,100.8525,1.03058066
,66,111.14,100.8525,1.032449397
,67,96.13,100.8525,0.96760253
,68,79.72,100.8525,0.967769227
,69,102.07,100.8525,0.933977569
,70,96.18,100.8525,0.921232812
,71,101.26,100.8525,0.959402079
,72,109.85,100.8525,0.962121536
2002,73,89.52,93.21416667,1.021626527
,74,89.27,93.21416667,1.015564203
,75,104.35,93.21416667,1.03808074
,76,87.05,93.21416667,1.013139959
,77,89.33,93.21416667,1.008665031
,78,102.2,93.21416667,1.02719767
,79,88.13,93.21416667,0.959768672
,80,75.68,93.21416667,0.994009165
,81,99.48,93.21416667,0.984869878
,82,96.4,93.21416667,0.999002112
,83,96.16,93.21416667,0.985738987
,84,101,93.21416667,0.957097089
2003,85,89.34,94.16416667,1.009286094
,86,86.91,94.16416667,0.978741162
,87,98.9,94.16416667,0.973937809
,88,85.54,94.16416667,0.985521649
,89,85.25,94.16416667,0.952884522
,90,101.14,94.16416667,1.006288091
,91,91.8,94.16416667,0.989650241
,92,76.98,94.16416667,1.000883261
,93,104.33,94.16416667,1.02246521
,94,99.72,94.16416667,1.022981774
,95,101.06,94.16416667,1.025517385
,96,109,94.16416667,1.022486008
2004,97,89.88,,
,98,92.27,,
,99,105.11,,
,100,91.5,,
,101,92.56,,
,102,104.35,,
,103,96.21,,
,104,79.58,,
,105,105.43,,
,106,99.18,,
,107,99.77,,
,108,113.55,,
2005,109,91.65,,
,110,90.56,,
,111,105.52,,
,112,92.18,,
,113,91.22,,
,114,109.04,,
,115,99.26,,
,116,83.36,,
,117,110.8,,
,118,104.95,,
,119,107.07,,
,120,114.4,,
